Experiment,PFA_size,Number_valid_configurations,Number_features,Number_PFAs,Number_valid_PFAs,Number_invalid_PFAs,Number_direct_observable_PFAs,Number_indirect_observable_PFAs,Number_non-observable_PFAs,Time
VCL,1,2097152.0,21,42,42,0,42,0,0,0.025204181671142578
VCL,2,2097152.0,21,840,840,0,840,0,0,0.11958050727844238
VCL,3,2097152.0,21,10640,10640,0,10640,0,0,1.798133373260498
